count	player_id	name	author	released	reference
3	Crunched:Exomizer				
3	4-Mat_tiny_2				
3	Kenneth_Arnold		Kenneth W. Arnold		
3	Audial_Arts/Cody_Digi				
3	Entropy_Editor	Entropy Music Editor	Simon Collis (Uzzy)	1993 Entropy	https://csdb.dk/release/?id=100032
3	Andreas_Bauernfeind				
3	Steven_Baumrucker_1				
3	Frank_Brodersen				
3	Andy_Brown				
3	Cadaver_Musicdriver_10				
3	Andrew_Colin				
3	Odie_tiny		Sean Connolly (Odie)		
3	Cope/Omicron				
3	Jeff/BullSID		Søren Lund (Jeff)		
3	CRD_Tracker	CRD-Tracker64	Owen Crowley (CRD)	2007 Owen Crowley	https://csdb.dk/release/?id=48461
3	Cyrion_Digi				
3	Daw_Digi		David Fahlander (Daw)		
3	Drumtex_tiny				
3	Commodore/Andy_Finkel				
3	Hermit/FlexSID-Bare		Mihály Horváth (Hermit)	2022	https://csdb.dk/release/?id=214694
3	TGS_Digi		Gábor Gáspár (The Galactic Stranger)		
3	Jeremy_Hall				
3	John_Hancock				
3	Digital_Systems				
3	Arti_Haroutunian				
3	Jonas_Hulten		Jonas Hultén		
3	Jeff/Airwalk		Søren Lund (Jeff)		
3	Jeff/XLarge		Søren Lund (Jeff)		
3	Nick_Jones				
3	Tommi_Joutsiniemi				
3	Ryo_Kawasaki				
3	Oliver_Kirwa				
3	Thomas_Kolbe				
3	Ken_Lagace				
3	Lethal_Digi				
3	Al_Lowe				
3	8bitDigi/Mahoney		Pex Tufvesson (Mahoney)		
3	DreamComposer/Tendance				
3	Bo_Mellberg				
3	MrWarp_Digi		Markus Peter (Mr. Warp)		
3	Paul_Norman/ComPub				
