count	player_id	category	name	author	released	reference	source_url	source_type	language	source_note
3	Cadaver_Musicdriver_10	binary-only								
3	Andrew_Colin	binary-only								
3	Odie_tiny	binary-only		Sean Connolly (Odie)						
3	Cope/Omicron	binary-only								
3	Jeff/BullSID	binary-only		Søren Lund (Jeff)						
3	CRD_Tracker	binary-only	CRD-Tracker64	Owen Crowley (CRD)	2007 Owen Crowley	https://csdb.dk/release/?id=48461				
3	Cyrion_Digi	binary-only								
3	Daw_Digi	binary-only		David Fahlander (Daw)						
3	Drumtex_tiny	binary-only								
3	Commodore/Andy_Finkel	binary-only								
3	Hermit/FlexSID-Bare	source		Mihály Horváth (Hermit)	2022	https://csdb.dk/release/?id=214694	https://hermit.sidrip.com/	author-site	C	Built on cRSID.
3	TGS_Digi	binary-only		Gábor Gáspár (The Galactic Stranger)						
3	Jeremy_Hall	binary-only								
3	John_Hancock	binary-only								
3	Digital_Systems	binary-only								
3	Arti_Haroutunian	binary-only								
3	Jonas_Hulten	binary-only		Jonas Hultén						
3	Jeff/Airwalk	binary-only		Søren Lund (Jeff)						
3	Jeff/XLarge	binary-only		Søren Lund (Jeff)						
3	Nick_Jones	binary-only								
3	Tommi_Joutsiniemi	binary-only								
3	Ryo_Kawasaki	binary-only								
3	Oliver_Kirwa	binary-only								
3	Thomas_Kolbe	binary-only								
3	Ken_Lagace	binary-only								
3	Lethal_Digi	binary-only								
3	Al_Lowe	binary-only								
3	8bitDigi/Mahoney	source		Pex Tufvesson (Mahoney)			https://livet.se/mahoney/	author-site	6502 asm + MATLAB	8-bit DAC measurement program source + volume-table script.
3	DreamComposer/Tendance	binary-only								
3	Bo_Mellberg	binary-only								
3	MrWarp_Digi	binary-only		Markus Peter (Mr. Warp)						
3	Paul_Norman/ComPub	binary-only								
3	Jason_Page/Jay	binary-only	Jays Music Routine	Jason Page (Jay)	1988	https://csdb.dk/release/?id=43956				
3	Music_Works	binary-only			1991 Simulmondo	https://csdb.dk/release/?id=92082				
3	Sanyo_Digi	binary-only		Stephane Martel (Sanyo)						
3	Scout_Digi	binary-only								
3	Silpheed_tiny	binary-only								
3	Tom_Snyder	binary-only								
3	StreetTuff_4K	binary-only								
3	StreetTuff_Digi	binary-only								
3	Roger_Svensson	binary-only								
3	TIC/Artworx	binary-only								
3	Microtracker	source		Matthias Hartung (The Syndrom)		https://codebase64.org/doku.php?id=base:microtracker_v1.0	https://codebase64.net/doku.php?id=base:microtracker_v1.0	codebase64	6502 asm (KickAssembler)	Full player source (author-reconstructed).
3	Frederic_Thiesse	binary-only								
3	Trasher_Digi	binary-only		Preben Vindholmen (Trasher)						
3	Robert_Westgate_v2	binary-only		Robert Westgate						
3	Robert_Westgate_v1	binary-only		Robert Westgate						
3	Wyndex/ISEQ	binary-only		Stephen L. Judd (Wyndex)	2001	https://csdb.dk/release/?id=113028				
3	Yip_Digi	binary-only								
3	Zirias	source		Felix Palmen (Zirias)			https://github.com/Zirias/c64_basicmusic	git-repo	6502 asm + BASIC + C	BASIC music extension w/ custom playroutine (Felix Palmen).
2	Ed/Wrath_Digi	binary-only		Eddie Svärd (Ed)						
2	Champ_Digi	binary-only								
2	?Commodore	binary-only								
2	Emmanuel_Lavall	binary-only								
2	Busic/Frank_Inklaar	binary-only								
2	256bytes/Frantic	binary-only								
2	?Unknown_Digi_2	binary-only								
2	?Unknown_Digi_3	binary-only								
2	Andy_Wilson	binary-only								
2	Hane_MusicMaker	binary-only								
2	?Steve_Kellet	binary-only								
2	?American_Greetings	binary-only								
2	?Dataapan	binary-only								
2	Oliver_Klaewer/Woogle	binary-only								
2	256bytes/LFT	binary-only								
2	Synthicat	binary-only								
2	?Unknown_7	binary-only								
2	?Digital_Integration	binary-only								
2	?Andrew_Colin/Talent	binary-only								
2	Kurt_Heiden	binary-only								
2	?Pal_Balog	binary-only								
2	?Macsen	binary-only								
2	Marcin_Grzegorzewski	binary-only								
2	Zoltan_Mohos	binary-only								
2	?Jeff_Schneider	binary-only								
2	?Edge	binary-only								
2	?Andrew_Pohl	binary-only								
2	Maurizio_Feletto	binary-only								
2	Ray_Rideout	binary-only								
2	?Ice_Software	binary-only								
2	B_Robinson	binary-only								
2	?Ahead_Designs	binary-only								
2	Tim_Gibson	binary-only								
2	?Jim_Andron	binary-only								
2	M_J	binary-only								
2	Achim_Schulz	binary-only								
2	Colin_Porch	binary-only								
2	Synthesizer64	binary-only	Synthesizer 64	Werner Kracht		https://csdb.dk/release/?id=86037				
2	?MindSpan	binary-only								
2	?Konami	binary-only								
2	Chris_Hochberger	binary-only								
2	Americana	binary-only								
2	Sequencer	binary-only	Sequencer	Thomas Krätzig	1985 64'er/Markt & Technik	https://csdb.dk/release/?id=129802				
2	Andy_Morton	binary-only								
2	?Virgin	binary-only								
2	?US_Gold_90	binary-only								
2	Randy_Glover	binary-only								
2	John_Darnell	binary-only								
2	Berkeley	binary-only								
2	Johannes_Goettker	binary-only		Johannes Göttker						
2	Roy_Glover	binary-only								
2	Microillusions	binary-only								
2	Oliver_Buettner	binary-only								
2	English_Software	binary-only								
2	Olivier_Barthelemy	binary-only								
2	?Robert_Hardy	binary-only								
2	Alberto_Geneletti	binary-only								
2	Jeff_Minter	binary-only								
2	Steven_Green	binary-only								
2	?Gamestar	binary-only								
2	Daglish/?Jeff_Calder	binary-only								
2	4-Mat/1k_Play	binary-only								
2	4-Mat/MiniSeq	binary-only								
2	4-Mat_tiny_3	binary-only								
2	KB/SDS	binary-only		Tammo Hinrichs (kb) of Smash Designs (SDS)						
2	Abaddon_Digi	binary-only		Timo Taipalus (Abaddon)						
2	AnnoyedArt1256_Digi	binary-only								
2	(Audial_Arts_Digi)	binary-only								
2	Sarah_Jane_Avory	binary-only								
2	ProDrum_2/Antifan	binary-only		Christian Grün (Antifan)		https://csdb.dk/release/?id=74041				
2	Mega_Player	binary-only	Mega Player	Dirk Bialluch		https://wayback.archive.org/web/lightstorm3d.com/portfolio/html_en/mega_player.htm				
2	GRG_tiny_3	binary-only		Glenn Rune Gallefoss (GRG)						
2	Cadaver_Musicdriver_7	binary-only								
2	Odie/Pulse	binary-only		Sean Connolly (Odie)						
2	(EMS_V10.x)	binary-only		Sean Connolly (Odie)						
2	Krill_tiny	binary-only								
2	Bacco_Digi	binary-only								
2	Tommy_Dunbar	binary-only								
2	Ed/Wrath_Digi_2	binary-only								
2	256bytes/Laxity	binary-only								
2	Input64	binary-only								
2	Gregor_Larson	binary-only		Gregor Larson						
2	Rule3_Digi_2	binary-only		Marcin Jedrusik (Helios)						
2	?Paul_Higginbottom	binary-only								
2	Christian_Hikl	binary-only								
2	Eweguo	binary-only		Karl Hörnell						
2	Jeff/FLT	binary-only		Søren Lund (Jeff)		https://csdb.dk/release/?id=17292				
2	Jeff/BullSID3	binary-only								
2	Jer_Digi	binary-only								
2	256bytes/ALiH	binary-only								
2	Algorithm/8bitDigi	binary-only		Naveed Khugiani (Algorithm)						
2	AlgoVQTracker_V1	binary-only		Naveed Khugiani (Algorithm)						
2	Thomas_Levine	binary-only								
2	?Action_Graphics	binary-only								
2	Longhair	binary-only		Milosz Ignatowski (Longhair)						
2	Dutch-USA_Team/86	binary-only								
2	Magic_Man/Crazy	binary-only		Stephan Schloepke						
2	Magnar/Unrolled	binary-only								
2	Censor_8bit_Digi_1	binary-only		Fredrik Ternell (Swallow)						
2	Mindcooler	binary-only								
2	Mindcooler_2	binary-only								
2	Prosonix_tiny	binary-only								
2	Proton_tiny	binary-only								
2	Musicodec	binary-only	Musicodec	Fabian Rosenschein						
2	Nick_Scarim	binary-only								
2	E_Determann	binary-only								
2	Mr_Watson_Digi	binary-only								
2	Nutt67_Digi	binary-only		Ben Hayes (Nutt'67)						
2	Dave_Spicer_V1	binary-only								
2	Carmine_TSM	binary-only								
2	Peter_Thierolf	binary-only								
2	256bytes/Ice00	binary-only								
2	?Tork/Pulsar	binary-only								
2	Mark_Trotter	binary-only								
2	Visac_Sequencer	binary-only								
2	Chris_Walsh	binary-only								
2	Silas_Warner_Digi	binary-only								
2	Silas_Warner	binary-only		Silas S. Warner						
2	Mr_Wedge	binary-only								
2	Martin_Wheeler	binary-only								
2	X-Byte	binary-only								
2	Ola_Zandelin	binary-only								
2	Zeta_Digi	binary-only								
2	Zmolk	binary-only								
1	128bytes_tiny	binary-only								
1	DefleMask_v1	commercial		Leonardo Demartino (Delek)	2013			commercial-closed		proprietary, no public source
1	(Kris_Hatlelid_Digi)	binary-only								
1	Censored_Editor	binary-only		Kenneth Mutka (Slaygon)	1990 Censor Design	https://csdb.dk/release/?id=91724				
1	Loadstar_SongSmith_v2	binary-only								
1	Georg_Brandt_Digi	binary-only								
1	?Programming_Partners	binary-only	The Programming Partnership							
1	?Activision_1	binary-only								
1	(Frank_Tout_V2)	binary-only								
1	Tamas_Revbiro	binary-only								
1	Johnny_Klonaris	binary-only								
1	?Summergames/Epyx	binary-only								
1	256bytes/Agemixer	binary-only								
1	Soft_Tune_Composer	binary-only		Melih Küçükçalik	1989	https://csdb.dk/release/?id=101769				
1	Pretzel/C64Composer	binary-only	C64 Composer	Fredrik Blom (Coq Rouge)	1989 Pretzel Logic	https://csdb.dk/release/?id=27453				
1	GoatTracker_V2/Mini	source		Lasse Öörni (Cadaver)	2018 Covert Bitops		https://github.com/cadaver/miniplayer	git-repo	C + 6502 asm	Cut-down playroutine + gt2->mini converter.
1	GoatTracker_V2/Mini2	source		Lasse Öörni (Cadaver)	2021 Covert Bitops		https://github.com/cadaver/miniplayer2	git-repo	C + 6502 asm	Updated mini playroutine.
1	Conrad/Samar	binary-only		Owen Crowley (Conrad)						
1	SoftwareAutomaticMouth	binary-only			1983 Don't Ask Computer Software	https://csdb.dk/release/?id=42843				
1	Daglish/Gremlin_SFX	binary-only								
1	SidStep2	binary-only								
1	256bytes/AEB	binary-only								
1	Geir_Tjelta/MacroPlay1	binary-only	Macro Player	Geir Tjelta	2009	https://csdb.dk/release/?id=76493				
1	TheTracker/Hitmen	binary-only		Groepaz	1998 Hitmen	https://csdb.dk/release/?id=3385				
1	Crunched:PUCrunch	binary-only								
1	Kawasaki_Rhythm_Rocker	binary-only								
1	Censor_8bit_Digi_2	binary-only		Fredrik Ternell (Swallow)						
1	Mat/MDA_Digi	binary-only		Matthias Hillebrand of Modern Arts						
1	Rayden_Digi_V2	binary-only		Patrick Zeh (Rayden)						
1	Daryll_Reynolds_Digi	binary-only								
1	(XTracker_V4.2x)	binary-only								
1	Dave_Spicer_V15	binary-only								
1	256bytes/Tape	binary-only								
1	Geir_Tjelta/MacroPlay2	binary-only	Macro Player	Geir Tjelta	2009					
1	(Rob_Hubbard_Digi)	binary-only		Rob Hubbard						
1	DrumStudio	binary-only	Drum Studio	Mark Wilson	1990 Players Software	https://csdb.dk/release/?id=59864				
1	WizPlayer_1.0	binary-only		Piotr Kuciapski (Wizard)						
1	256bytes/Wyndex	binary-only								
