count	player_id	category	name	author	released	reference	source_url	source_type	language	source_note
25	Element114Studio_2.0	binary-only	Music Studio 2	Martin Piper	2010 Element 114 Software	https://csdb.dk/release/?id=91544				
25	Barry_Leitch	binary-only								
25	Companion/Jay_Derrett	binary-only		Jay Derrett						
25	Kawasaki_Synthesizer	binary-only	Kawasaki Synthesizer	Ryo Kawasaki	1983 Sight & Sound Music Software					
25	CCC_Editor	binary-only	Commodore Cracking Crew Music Editor	Pex Tufvesson	1987 Commodore Cracking Crew	https://csdb.dk/release/?id=149128				
24	Sound-Tracker_64	binary-only		Claus Leth Gregersen (Groo) & Michael Toft (Dean) & Lars Pedersen (Spe)	1988 Mechanix 2124	https://csdb.dk/release/?id=36365				
24	Jason_Brooke	binary-only								
23	Harri_Palviainen	binary-only								
23	TrackPlayer	binary-only		Marceli Rzepka (Lyon)	Motiv 8	https://csdb.dk/release/?id=90076				
22	TFMX	binary-only	The Final Musicsystem eXtended (TFMX)	Chris Hülsbeck	1988					
22	RoMuzak_V7.x	binary-only		Oliver Blasnik (ROM)		https://csdb.dk/release/?id=17819				
22	Stephan/Bytemare	binary-only	Music-Editor	Stephan Schloepke (Magic Man)	1990 Bytemare	https://csdb.dk/release/?id=125970				
22	Jeroen_Koops	binary-only								
22	Slaygon	binary-only		Kenneth Mutka (Slaygon)						
21	SadoTracker	source		Lasse Öörni (Cadaver)	1999 Covert Bitops	https://csdb.dk/release/?id=72773	https://cadaver.github.io/tools.html	author-site	6502 asm	Source distributed in release zip.
21	Games_Creator	binary-only	The Games Creator	David Darling & Richard Darling	1984 Mirrorsoft Ltd. / Mastertronic	https://csdb.dk/release/?id=116924				
21	Radarsoft	binary-only								
21	Roel_Bosch	binary-only								
21	Paradroid/Lameplayer	binary-only		Paradroid	1990	https://csdb.dk/release/?id=101595				
20	Novaload	binary-only								
20	Loadstar_SongSmith_v1	binary-only								
20	Electronic_Speech_Sys	binary-only	Electronic Speech System							
20	Dave_Warhol	binary-only								
20	Tiny/Sound_Images	binary-only								
20	Anvil	binary-only		Petri Reiman (Anvil)						
20	MacMusic	binary-only				https://csdb.dk/release/?id=117250				
19	Antony_Crowther_V2	binary-only	Music Master	Antony Crowther	1986 Your Commodore	https://csdb.dk/release/?id=14590				
19	Artlace	binary-only	Artlace Editor (ARL-Editor)	Artúr Bujdosó (Artlace)	1993 Rebels	https://csdb.dk/release/?id=152723				
19	Music_Construction_Set	binary-only	Will Harvey's Music Construction Set	Will Harvey	1984 Electronic Arts	https://csdb.dk/release/?id=185248				
18	Comer/Sample_Studio	binary-only		Pawel Kulikowski (Comer)		https://csdb.dk/release/?id=101704				
18	NinjaTracker_V1.x	source		Lasse Öörni (Cadaver)	2002 Covert Bitops	https://csdb.dk/release/?id=7206	https://cadaver.github.io/tools.html	author-site	6502 asm (DASM)	Source in release zip.
18	OxyMod4Bit/THCM	binary-only		Uwe Anfang (The Human Code Machine)						
18	GRG_tiny_4	binary-only		Glenn Rune Gallefoss (GRG)						
18	Burgstaller_B	binary-only								
18	Micropearl/Fitzpatrick	binary-only								
18	Ghost/SampleMon	binary-only	Sample Mon	Slawomir Skrzynski (Ghost)	1994 Biuro Informatyczno-Wydawnicze (BIW)	https://csdb.dk/release/?id=9876				
18	LFT	binary-only		Linus Åkesson (LFT)						
18	Harald_Rosenfeldt	binary-only	Music Assembler V3.1	Harald Rosenfeldt	1989 64'er/Markt & Technik					
17	K-Byte	binary-only								
17	GalBard/ATOO	binary-only	GalBard	Anders Andréen (ATOO)						
17	Chris_Cox	binary-only								
17	Extra_Sound	binary-only		Tobias Herre		https://csdb.dk/release/?id=111493				
17	Ashley_Hogg	binary-only								
17	Toaster_Digi	binary-only		Tomasz Przybylski (Toaster)						
17	Martin_Walker	binary-only								
16	Assassin_Sample_Mixer	binary-only	Sample Mixer	Assassin	1993	https://csdb.dk/release/?id=129555				
16	Element114Studio_1.0	binary-only	Music Studio Plus	Martin Piper & Alan Peters	1992 Element 114 Software					
16	DMC_V6.x	binary-only	Demo Music Creator System (DMC)	Balazs Farkas (Brian)						
16	Henning_Andersen	binary-only								
15	Polyanna	binary-only		Aleksi Eeben	2017	https://csdb.dk/release/?id=153091				
15	PlayStar	binary-only	Play Star	Radoslaw Andrzejewicz (Rabbi)						
14	OmegaSupreme_Digi	binary-only		Olav Mørkrid (Omega Supreme)						
14	Sidplayer	magazine		Craig Chamberlain	1985	https://csdb.dk/release/?id=33248		magazine-listing		Book 'All About the Commodore 64, Vol.2' (1985) — full type-in listing; scan at archive.org
14	Music_Producer_II	binary-only	Music Producer II	J.N.W. Cheesman						
14	Michael_Delaney	binary-only	C64 Music Editor V1.0	Michael Delaney	1992 Michael Delaney	https://csdb.dk/release/?id=138249				
14	Android	binary-only		Andrew Craigie (Android)						
14	GRG_tiny_2	binary-only		Glenn Rune Gallefoss (GRG)						
